,start,end
incipient,2009-12-11 06:00:00,2009-12-11 15:00:00
intensification,2009-12-11 16:00:00,2009-12-13 09:00:00
mature,2009-12-13 10:00:00,2009-12-13 22:00:00
decay,2009-12-13 23:00:00,2009-12-15 14:00:00
