,Type of System,Total Count,Percentage
4,"incipient, intensification, mature, decay",2818,64.82631700023005
7,"intensification, mature, decay",309,7.108350586611456
3,"incipient, decay, intensification, mature, decay 2",196,4.508856682769726
5,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",187,4.301817345295606
2,"decay, intensification, mature, decay 2",158,3.63469059121233
8,"intensification, mature, decay, intensification 2, mature 2, decay 2",155,3.565677478720957
