,Type of System,Total Count,Percentage
4,"incipient, intensification, mature, decay",2553,65.27742265405269
7,"intensification, mature, decay",267,6.826898491434417
5,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",196,5.011506008693429
3,"incipient, decay, intensification, mature, decay 2",147,3.758629506520072
6,intensification,144,3.681922781897213
2,"decay, intensification, mature, decay 2",130,3.323958066990539
8,"intensification, mature, decay, intensification 2, mature 2, decay 2",129,3.2983891587829195
0,decay,80,2.0455126566095627
1,"decay, intensification",55,1.4062899514190743
