,Type of System,Total Count,Percentage
4,"incipient, intensification, mature, decay",2043,65.73359073359073
7,"intensification, mature, decay",202,6.4993564993565
5,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",164,5.276705276705277
3,"incipient, decay, intensification, mature, decay 2",125,4.021879021879022
8,"intensification, mature, decay, intensification 2, mature 2, decay 2",124,3.989703989703989
2,"decay, intensification, mature, decay 2",76,2.445302445302445
