,Type of System,Total Count,Percentage
2,"incipient, intensification, mature, decay",3139,64.37653814602133
4,"intensification, mature, decay",347,7.116488925348647
3,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",220,4.5118949958982775
1,"incipient, decay, intensification, mature, decay 2",219,4.491386382280558
5,"intensification, mature, decay, intensification 2, mature 2, decay 2",183,3.7530762920426577
0,"decay, intensification, mature, decay 2",171,3.5069729286300246
