,Type of System,Total Count,Percentage
4,"incipient, intensification, mature, decay",622,64.05767250257466
5,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",59,6.07621009268795
7,"intensification, mature, decay",59,6.07621009268795
3,"incipient, decay, intensification, mature, decay 2",57,5.870236869207004
8,"intensification, mature, decay, intensification 2, mature 2, decay 2",43,4.42842430484037
2,"decay, intensification, mature, decay 2",33,3.398558187435633
6,intensification,28,2.883625128733265
0,decay,18,1.8537590113285276
1,"decay, intensification",12,1.235839340885685
