,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",263,62.17494089834515
4,"incipient, decay, intensification, mature, decay 2",29,6.8557919621749415
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",26,6.1465721040189125
8,"intensification, mature, decay",25,5.910165484633571
2,"decay, intensification, mature, decay 2",20,4.728132387706856
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",11,2.6004728132387704
