,Type of System,Total Count,Percentage
4,"incipient, intensification, mature, decay",2316,65.47921967769295
7,"intensification, mature, decay",218,6.163415323720667
3,"incipient, decay, intensification, mature, decay 2",183,5.173876166242578
5,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",166,4.693242861181793
2,"decay, intensification, mature, decay 2",118,3.336160588068985
8,"intensification, mature, decay, intensification 2, mature 2, decay 2",116,3.279615493355952
