,Type of System,Total Count,Percentage
2,"incipient, intensification, mature, decay",2569,65.23616048755713
4,"intensification, mature, decay",266,6.75469781615033
1,"incipient, decay, intensification, mature, decay 2",183,4.647028948704927
3,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",168,4.266124936515998
0,"decay, intensification, mature, decay 2",143,3.6312849162011176
5,"intensification, mature, decay, intensification 2, mature 2, decay 2",132,3.35195530726257
