,Type of System,Total Count,Percentage
2,"incipient, intensification, mature, decay",2156,64.26229508196722
4,"intensification, mature, decay",221,6.587183308494785
3,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",170,5.067064083457526
1,"incipient, decay, intensification, mature, decay 2",163,4.858420268256334
5,"intensification, mature, decay, intensification 2, mature 2, decay 2",141,4.202682563338301
0,"decay, intensification, mature, decay 2",90,2.682563338301043
