,Type of System,Total Count,Percentage
4,"incipient, intensification, mature, decay",2063,66.12179487179489
7,"intensification, mature, decay",204,6.538461538461538
5,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",147,4.711538461538462
3,"incipient, decay, intensification, mature, decay 2",111,3.5576923076923075
2,"decay, intensification, mature, decay 2",101,3.237179487179488
8,"intensification, mature, decay, intensification 2, mature 2, decay 2",91,2.9166666666666665
