,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",5168,60.01625827430031
8,"intensification, mature, decay",616,7.153640692137963
4,"incipient, decay, intensification, mature, decay 2",561,6.514922773197074
2,"decay, intensification, mature, decay 2",371,4.308442689583091
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",347,4.029729415863431
0,decay,343,3.983277203576821
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",296,3.4374637092091507
7,intensification,254,2.9497154801997447
1,"decay, intensification",137,1.5909882708163976
3,"incipient, decay",104,1.207757519451864
