,Type of System,Total Count,Percentage
3,"incipient, intensification, mature, decay",1396,69.41819990054698
6,"intensification, mature, decay",121,6.016907011437096
4,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",113,5.619094977623073
2,"incipient, decay, intensification, mature, decay 2",85,4.226752859273994
7,"intensification, mature, decay, intensification 2, mature 2, decay 2",63,3.13276976628543
1,"decay, intensification, mature, decay 2",47,2.3371456986573844
