,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",5556,61.36514247846256
8,"intensification, mature, decay",682,7.532582284073339
4,"incipient, decay, intensification, mature, decay 2",480,5.301524188204108
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",360,3.9761431411530817
2,"decay, intensification, mature, decay 2",359,3.9650982990943233
0,decay,347,3.83256019438922
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",312,3.445990722332671
7,intensification,269,2.9710625138060527
1,"decay, intensification",164,1.811354097636404
3,"incipient, decay",97,1.0713496796995805
