,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",20416,60.468560258270884
8,"intensification, mature, decay",2482,7.351242484376389
4,"incipient, decay, intensification, mature, decay 2",1978,5.858484139442585
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",1390,4.116932737019815
2,"decay, intensification, mature, decay 2",1361,4.031039895743862
0,decay,1302,3.8562923910789912
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",1166,3.453484583715902
7,intensification,1007,2.9825548677546427
1,"decay, intensification",563,1.667505849598673
3,"incipient, decay",416,1.2321179989929805
