,Type of System,Total Count,Percentage
3,"incipient, intensification, mature, decay",1386,67.87463271302644
6,"intensification, mature, decay",142,6.953966699314398
4,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",97,4.750244857982371
2,"incipient, decay, intensification, mature, decay 2",87,4.260528893241919
7,"intensification, mature, decay, intensification 2, mature 2, decay 2",83,4.06464250734574
5,intensification,59,2.889324191968658
1,"decay, intensification, mature, decay 2",56,2.742409402546523
0,decay,29,1.4201762977473065
