,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",3139,61.93764798737174
8,"intensification, mature, decay",310,6.11681136543015
4,"incipient, decay, intensification, mature, decay 2",283,5.58405682715075
7,intensification,231,4.558011049723757
2,"decay, intensification, mature, decay 2",222,4.380426203630623
0,decay,178,3.51223362273086
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",165,3.255722178374112
1,"decay, intensification",127,2.505919494869771
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",123,2.426992896606156
3,"incipient, decay",56,1.1049723756906076
