,Type of System,Total Count,Percentage
4,"incipient, intensification, mature, decay",2615,65.45682102628285
7,"intensification, mature, decay",254,6.357947434292866
3,"incipient, decay, intensification, mature, decay 2",207,5.181476846057572
5,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",183,4.58072590738423
6,intensification,140,3.504380475594493
8,"intensification, mature, decay, intensification 2, mature 2, decay 2",136,3.404255319148936
2,"decay, intensification, mature, decay 2",134,3.3541927409261576
0,decay,63,1.576971214017522
1,"decay, intensification",53,1.3266583229036295
