,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",8017,62.691585861745395
8,"intensification, mature, decay",895,6.998748827025336
4,"incipient, decay, intensification, mature, decay 2",606,4.738817641538943
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",565,4.418204566781358
2,"decay, intensification, mature, decay 2",484,3.784798248357836
7,intensification,419,3.2765092274006884
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",417,3.260869565217391
0,decay,402,3.1435720988426654
1,"decay, intensification",205,1.6030653737879264
3,"incipient, decay",148,1.1573350015639663
