,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",7959,61.702457554849204
8,"intensification, mature, decay",886,6.868749515466315
4,"incipient, decay, intensification, mature, decay 2",786,6.0934956198154895
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",550,4.2638964260795404
2,"decay, intensification, mature, decay 2",517,4.008062640514769
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",449,3.480889991472208
0,decay,411,3.1862935111248936
7,intensification,405,3.1397782773858443
1,"decay, intensification",192,1.4884874796495853
3,"incipient, decay",142,1.1008605318241724
