,start,end
incipient,1997-11-09 22:00:00,1997-11-10 04:00:00
intensification,1997-11-10 05:00:00,1997-11-11 10:00:00
mature,1997-11-11 11:00:00,1997-11-11 18:00:00
decay,1997-11-11 19:00:00,1997-11-12 15:00:00
intensification 2,1997-11-12 16:00:00,1997-11-14 09:00:00
mature 2,1997-11-14 10:00:00,1997-11-14 17:00:00
decay 2,1997-11-14 18:00:00,1997-11-15 03:00:00
