Region,Season,mean_Total,std_Total,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
Total,DJF,83.8,62.9,10.9,8.5,33.7,26.6,12.0,8.8,38.3,31.8,16.5,12.3,7.4,4.8,20.7,18.4,15.7,13.9
ARG,DJF,71.4,55.7,9.2,8.0,32.0,25.0,12.5,8.4,35.8,28.6,15.4,12.3,7.9,5.1,18.1,16.8,13.6,11.9
LA-PLATA,DJF,59.8,48.5,9.5,7.2,28.3,20.8,11.1,7.9,30.5,26.6,20.0,15.8,7.6,5.3,19.0,19.3,18.8,17.6
SE-BR,DJF,58.7,49.6,10.7,10.3,27.8,24.5,9.8,7.3,27.8,23.5,24.9,25.2,10.7,8.6,20.3,20.6,16.7,16.9
SE-SAO,DJF,65.2,51.3,8.0,6.2,27.8,21.2,11.3,7.8,34.1,28.3,19.4,14.0,8.5,5.1,19.7,17.7,13.1,12.2
AT-PEN,DJF,51.6,40.6,5.8,4.5,23.3,18.3,8.9,6.0,29.5,23.6,19.5,13.4,5.8,2.3,12.7,7.2,14.5,11.9
WEDDELL,DJF,55.3,44.4,9.0,9.2,25.6,21.0,9.7,6.9,26.2,19.2,30.4,28.2,9.6,6.6,20.6,11.0,23.1,11.6
SA-NAM,DJF,44.4,33.8,6.9,6.2,20.2,19.0,6.6,5.4,19.2,17.1,13.9,16.5,4.2,2.5,14.8,10.6,12.2,10.0
Total,JJA,78.7,55.5,9.5,7.9,30.8,23.8,10.9,8.0,36.3,29.2,15.3,13.9,6.7,3.9,18.6,15.2,11.1,10.1
ARG,JJA,60.8,44.6,8.9,7.8,26.5,20.4,10.3,7.1,29.8,23.3,16.2,12.6,7.0,4.1,18.2,13.2,12.3,9.7
LA-PLATA,JJA,64.3,48.7,10.5,8.8,31.6,24.5,11.9,8.0,32.2,25.9,21.1,16.2,7.5,4.4,21.6,16.3,14.6,13.5
SE-BR,JJA,49.3,38.6,9.0,7.2,24.9,18.4,9.7,6.3,26.2,21.2,16.4,12.6,9.9,5.1,17.7,14.1,10.3,11.8
SE-SAO,JJA,64.2,47.4,9.3,7.3,29.0,20.9,10.4,7.0,29.9,23.9,20.4,14.5,8.5,3.8,21.0,16.4,10.3,8.8
AT-PEN,JJA,45.3,32.3,6.4,5.3,19.7,12.6,7.5,4.0,23.9,16.8,22.6,17.7,7.3,4.9,16.8,12.1,12.0,10.5
WEDDELL,JJA,54.8,42.7,8.1,6.8,26.8,20.8,9.3,6.2,23.6,18.9,21.6,16.9,7.0,4.1,18.4,12.5,22.6,20.0
SA-NAM,JJA,47.8,36.5,7.8,7.0,21.8,17.7,8.1,5.8,22.1,17.3,16.2,11.1,6.6,3.7,19.5,16.9,14.5,12.7
Total,,82.7,59.9,9.9,8.0,32.0,25.1,11.6,8.5,38.1,30.5,16.3,13.4,7.2,4.7,18.9,16.1,13.2,12.4
ARG,,65.3,50.6,8.9,7.7,29.6,23.3,11.0,7.7,31.8,26.1,18.3,13.5,8.3,5.2,19.9,16.8,14.5,14.0
LA-PLATA,,62.2,48.4,9.7,7.8,29.2,22.2,11.5,8.1,30.9,25.9,20.1,15.1,7.8,4.6,21.5,18.3,16.0,14.1
SE-BR,,54.7,44.0,9.4,8.4,26.1,21.1,9.9,6.9,27.4,22.3,20.4,18.8,9.8,6.5,22.1,18.8,12.4,12.9
SE-SAO,,65.2,49.3,8.9,7.1,28.7,21.4,10.8,7.2,31.8,25.5,19.9,14.8,8.4,4.5,19.6,16.1,11.5,10.2
AT-PEN,,49.6,38.7,6.3,5.4,22.2,17.0,8.6,5.6,27.1,21.4,21.2,16.0,7.3,4.6,18.5,14.8,14.0,13.4
WEDDELL,,54.3,42.9,7.9,7.2,26.0,22.0,9.2,6.3,24.4,18.4,22.8,18.6,7.8,4.7,20.3,13.9,20.6,16.5
SA-NAM,,49.4,37.7,7.4,6.4,22.2,18.5,8.0,5.7,22.9,18.6,15.9,14.7,5.7,4.3,15.7,12.6,15.9,14.3
