Region,Season,mean_Total,std_Total,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
Total,DJF,55.9,49.6,7.3,7.3,22.6,21.2,8.0,7.6,25.7,25.6,11.0,10.7,4.7,4.3,13.3,14.8,10.1,10.6
ARG,DJF,47.3,43.4,6.2,6.8,21.4,20.8,8.1,7.2,23.6,22.4,10.2,10.6,5.2,4.9,12.0,13.3,8.7,8.8
LA-PLATA,DJF,39.3,38.2,6.5,6.5,18.8,18.0,7.4,7.4,20.0,20.7,12.9,12.6,4.6,4.6,12.1,15.4,11.9,12.9
SE-BR,DJF,39.1,38.3,7.2,8.3,18.6,20.6,6.7,6.8,18.8,19.2,15.5,18.9,6.7,7.4,12.7,14.6,11.2,13.8
SE-SAO,DJF,43.7,40.4,5.4,5.5,18.8,17.5,7.5,6.8,22.6,22.3,13.7,13.1,5.8,5.0,13.4,15.0,8.9,10.6
AT-PEN,DJF,34.1,32.5,3.9,4.1,15.4,15.4,5.8,5.6,19.6,19.3,13.2,11.9,3.7,2.7,9.0,7.8,8.7,9.1
WEDDELL,DJF,35.6,33.3,6.0,7.7,16.3,15.9,6.2,6.0,17.0,15.7,19.1,20.5,6.1,5.3,13.4,10.9,15.4,12.4
SA-NAM,DJF,29.4,26.7,4.8,5.7,13.3,14.7,4.3,4.8,12.9,13.8,8.9,12.2,2.5,2.2,9.4,9.0,8.1,9.5
Total,JJA,58.2,48.9,7.0,7.7,22.9,21.8,8.0,7.9,26.7,26.3,11.5,13.1,5.0,4.9,13.9,14.5,8.1,9.6
ARG,JJA,44.6,39.0,6.6,7.6,19.5,18.4,7.4,7.1,21.9,21.3,11.9,11.5,5.1,4.5,13.4,12.5,9.3,9.1
LA-PLATA,JJA,47.4,42.4,7.6,7.8,23.3,22.5,8.6,8.0,23.9,24.4,15.7,15.0,5.7,5.3,15.9,15.5,11.2,13.0
SE-BR,JJA,36.1,34.3,6.6,6.7,18.8,17.7,7.1,6.9,18.7,19.2,11.6,12.1,6.5,5.2,12.5,12.6,8.2,12.3
SE-SAO,JJA,47.7,41.7,7.0,7.4,21.7,19.3,7.9,7.2,22.0,21.4,14.6,13.4,5.7,4.5,15.2,14.6,7.5,8.6
AT-PEN,JJA,35.0,31.3,5.1,6.2,15.2,13.5,5.9,5.4,18.6,17.3,17.0,16.3,5.1,4.7,12.4,11.8,9.3,11.2
WEDDELL,JJA,40.2,36.5,5.9,6.1,19.8,18.8,6.7,6.2,17.3,16.8,14.9,16.6,4.8,4.3,13.4,12.9,17.4,18.3
SA-NAM,JJA,35.3,32.8,5.7,6.7,16.1,16.2,5.9,5.8,16.4,16.6,11.7,11.5,4.5,4.3,14.6,15.4,10.7,13.0
Total,,59.3,50.9,7.1,7.5,23.1,22.2,8.2,8.0,27.3,26.5,11.7,12.5,5.1,5.1,13.4,14.4,9.3,10.7
ARG,,46.4,42.4,6.4,7.2,21.1,20.5,7.8,7.2,22.6,22.2,12.9,12.4,5.7,5.3,14.1,14.9,10.4,12.1
LA-PLATA,,44.5,41.0,6.9,7.1,20.9,20.1,8.2,8.0,22.1,22.7,14.4,13.7,5.6,5.0,15.3,16.4,11.3,12.6
SE-BR,,38.8,37.0,6.7,7.5,18.7,18.8,7.1,7.0,19.4,19.7,13.9,15.5,6.6,6.0,15.1,15.7,9.0,11.4
SE-SAO,,47.0,41.8,6.6,6.9,20.9,19.3,7.7,7.0,22.7,21.9,14.3,13.7,5.8,4.9,14.0,14.3,8.3,9.7
AT-PEN,,35.7,33.4,4.6,5.6,16.0,15.5,6.1,5.7,19.4,19.1,15.3,15.1,5.1,5.0,13.3,13.4,10.2,12.8
WEDDELL,,38.6,35.8,5.7,6.6,18.5,19.0,6.4,6.1,17.4,16.4,15.5,16.2,5.3,4.7,14.4,13.6,15.0,15.3
SA-NAM,,35.4,33.1,5.4,6.1,16.0,16.7,5.7,5.9,16.4,17.1,11.2,13.1,3.9,4.1,11.1,11.5,11.5,13.8
