,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RGe,RKz,RKe
intensification,350264.2781044544,510736.82983389683,4245296.197212734,784896.5167560612,-0.1352772976131493,0.18818346697130164,2.282559445641861,20.815377018884924,-1.1384544578539197,19.580538309968876,-47.96824203740647,10.992246476376504,290.46162722490965,343.32377312477087,3.297398970559938,13.717506946619096,-2.738892317141986,2.7922439787605198,27.609104221356752,8.121313410375581,-1.5475316899299147,3.8388992207052604,-73.43006411073452,21.40375063924398
mature,668599.9036857777,209071.60427753042,3875165.22298418,1028255.5347309803,21.173699524814,-1.0996817190642292,-6.136863840271309,0.5970866944401932,10.297387132004584,-2.020913097934929,-12.045522699907306,12.33447634318272,125.29875244731721,31.859852461702705,13.328860195173089,0.09467302379010088,4.13732508834312,-8.96154286749271,-68.67498848253054,-3.969467080817362,13.913955762088309,-5.243861356053357,71.66630146716592,23.03789395871158
decay,299211.70213190553,93248.5123407916,3608824.4318063282,775463.1515970338,3.226001063618757,0.7537869999503202,-23.475868144409976,1.229294696985934,3.4708734143724573,-1.0914483539561832,-54.461553111978496,-16.7868353123776,244.75907380780222,113.75547870585316,0.02143801125430088,-0.3190335984315364,-0.6454406170143864,-0.20290327309069411,15.538869807989828,-3.4713471433042615,-0.1365259678177673,1.3640527779011031,-90.25029000075956,11.389674672322577
residual,765723.538670312,46123.32058889833,6270959.704991561,128977.46963547671,3.159026545977011,0.20610957720544829,-2.987916832905159,0.41465786534592947,1.9096563907081239,-1.054707868060213,-56.829803736800834,0.27546470303223414,96.57302311788764,-44.45223059451393,-0.10148497087882868,0.06764708343094962,2.5417202353264305,-0.1805275266599829,6.993557620133379,-0.7142341096820944,3.9971999678007677,1.0827286295407113,-63.652251643862364,4.39227351096542
