,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RGe,RKz,RKe
incipient,898499.1702736381,257613.79197543487,4517234.976358404,350575.91181719943,-1.5984799345065694,0.33536017024169557,1.8726601535035308,10.91460232660518,0.07576204154202659,14.352050718123138,-78.15944545672227,-5.3579005863808735,268.914453210664,265.588114438305,3.9771284952904478,12.177736326488922,3.8671782650584605,9.460509553886778,40.11993129096777,13.132852100070181,2.52829645925156,5.687700992127125,-118.00519652869308,-9.448810513349404
intensification,567337.12654766,539986.7056136372,5307329.317323285,802677.9788700346,-11.152423440767565,3.318995854673125,0.19586997446737406,26.116969124930197,-5.627613596872818,14.39329279404612,-49.25053456019496,19.72607174416704,333.4266078118303,306.81382040426763,1.7936430415804303,17.411863221404325,-8.34618934916585,1.7888452167334201,0.7175063530873231,5.406826271890212,-10.55200333838747,10.193525692944366,-60.924594379582466,40.24034462273964
mature,277532.8567116064,333784.33895228006,3706673.818424242,855063.8631027873,7.21842895653984,-0.14853416806745942,3.5971407897790484,1.321379232620562,6.655886678503233,0.5919213780688141,7.630077546715597,4.151850466241075,210.90062121069982,164.35659139986998,4.83162955869594,-0.5321782913363259,4.534300988618365,-8.79386115511445,-51.844921983879125,-3.1962163457372834,4.948309098587515,-7.915869132495242,70.29056927691362,5.072305254819873
decay,180881.00882713994,68036.7366342293,1709929.2463598542,404550.61188039265,2.785528485593386,0.1640686265620051,-4.205107743683332,0.5362799118971316,2.541692132681155,-0.03633530837774612,-4.410032237309533,-2.0903376367395468,30.20225767445058,-30.09607585188958,0.3713982233909391,-0.038515022888461745,-1.6351026040936023,-0.292260508050637,-2.916150859189227,-3.1651732401665558,-1.2271976246193657,0.11628608566223561,-2.913460636210248,5.816223259007473
residual,167196.93631534264,43626.792311259145,2109557.9829833065,141854.11550246802,0.6609325409337399,-0.08195752067207002,1.5600786718045319,0.05012301007238761,2.6705024012130787,-0.2594693744145259,19.37259966456443,-1.701893764788025,-56.53182732078904,-92.12041181612769,-0.09348860151834472,-0.03993993848239343,0.30817171050774234,-0.8034962883094832,-4.19418790175336,-2.106120296830734,-1.7833556704436666,-0.4119463831504993,25.78779877905606,-1.1057291296894356
