,start,end
incipient,2011-03-09 13:00:00,2011-03-09 14:00:00
intensification,2011-03-09 15:00:00,2011-03-09 23:00:00
mature,2011-03-10 00:00:00,2011-03-10 03:00:00
decay,2011-03-10 04:00:00,2011-03-10 20:00:00
