,start,end
decay,2006-09-14 18:00:00,2006-09-15 01:00:00
intensification,2006-09-15 02:00:00,2006-09-15 06:00:00
mature,2006-09-15 07:00:00,2006-09-15 08:00:00
decay 2,2006-09-15 09:00:00,2006-09-15 15:00:00
residual,2006-09-15 16:00:00,2006-09-15 21:00:00
