,start,end
intensification,2013-01-15 06:00:00,2013-01-15 12:00:00
mature,2013-01-15 13:00:00,2013-01-15 14:00:00
decay,2013-01-15 15:00:00,2013-01-15 21:00:00
intensification 2,2013-01-15 22:00:00,2013-01-16 04:00:00
mature 2,2013-01-16 05:00:00,2013-01-16 07:00:00
decay 2,2013-01-16 08:00:00,2013-01-16 15:00:00
