,start,end
incipient,1980-05-17 22:00:00,1980-05-18 01:00:00
intensification,1980-05-18 02:00:00,1980-05-18 18:00:00
mature,1980-05-18 19:00:00,1980-05-18 23:00:00
decay,1980-05-19 00:00:00,1980-05-19 06:00:00
intensification 2,1980-05-19 07:00:00,1980-05-19 19:00:00
mature 2,1980-05-19 20:00:00,1980-05-19 23:00:00
decay 2,1980-05-20 00:00:00,1980-05-20 10:00:00
