,start,end
incipient,1994-12-30 10:00:00,1994-12-30 14:00:00
intensification,1994-12-30 15:00:00,1994-12-30 18:00:00
decay,1994-12-30 19:00:00,1994-12-30 22:00:00
intensification 2,1994-12-30 23:00:00,1994-12-31 23:00:00
