,start,end
incipient,2020-12-22 01:00:00,2020-12-22 11:00:00
intensification,2020-12-22 12:00:00,2020-12-24 01:00:00
mature,2020-12-24 02:00:00,2020-12-24 18:00:00
decay,2020-12-24 19:00:00,2020-12-27 09:00:00
