,Ck,Ca,Ke,Ge
intensification,-16.332446793783582,5.344336691444375,606818.9689777124,4.246091399958655
mature,-14.631579234965102,1.8698119948925083,603975.9950179127,-0.14623272636307094
decay,-1.8783809770239284,-0.23300447063224095,157837.68929472344,-0.3627457352515491
