,start,end
decay,2007-12-12 22:00:00,2007-12-13 14:00:00
intensification,2007-12-13 15:00:00,2007-12-13 23:00:00
mature,2007-12-14 00:00:00,2007-12-14 04:00:00
decay 2,2007-12-14 05:00:00,2007-12-15 08:00:00
residual,2007-12-15 09:00:00,2007-12-16 09:00:00
