,start,end
incipient,1984-12-17 22:00:00,1984-12-18 14:00:00
intensification,1984-12-18 15:00:00,1984-12-20 13:00:00
mature,1984-12-20 14:00:00,1984-12-21 06:00:00
decay,1984-12-21 07:00:00,1984-12-23 09:00:00
