,start,end
incipient,2009-08-26 17:00:00,2009-08-27 16:00:00
decay,2009-08-27 17:00:00,2009-08-28 12:00:00
intensification,2009-08-28 13:00:00,2009-08-29 15:00:00
mature,2009-08-29 16:00:00,2009-08-29 22:00:00
decay 2,2009-08-29 23:00:00,2009-08-30 16:00:00
residual,2009-08-30 17:00:00,2009-08-31 23:00:00
