,start,end
incipient,2018-10-21 20:00:00,2018-10-22 06:00:00
intensification,2018-10-22 07:00:00,2018-10-27 06:00:00
mature,2018-10-27 07:00:00,2018-10-27 17:00:00
decay,2018-10-27 18:00:00,2018-10-28 18:00:00
