,start,end
incipient,2002-09-14 23:00:00,2002-09-15 00:00:00
intensification,2002-09-15 01:00:00,2002-09-15 12:00:00
mature,2002-09-15 13:00:00,2002-09-15 17:00:00
decay,2002-09-15 18:00:00,2002-09-17 08:00:00
