,start,end
incipient,1987-12-24 12:00:00,1987-12-24 18:00:00
intensification,1987-12-24 19:00:00,1987-12-26 08:00:00
mature,1987-12-26 09:00:00,1987-12-27 03:00:00
decay,1987-12-27 04:00:00,1987-12-30 21:00:00
