,start,end
intensification,1992-06-05 09:00:00,1992-06-07 17:00:00
mature,1992-06-07 06:00:00,1992-06-08 12:00:00
decay,1992-06-08 01:00:00,1992-06-10 20:00:00
intensification 2,1992-06-10 09:00:00,1992-06-12 12:00:00
mature 2,1992-06-12 01:00:00,1992-06-13 01:00:00
decay 2,1992-06-12 14:00:00,1992-06-15 06:00:00
