,start,end
intensification,1992-07-14 05:00:00,1992-07-15 00:00:00
intensification 2,1992-07-17 21:00:00,1992-07-19 08:00:00
mature,1992-07-14 13:00:00,1992-07-17 10:00:00
mature 2,1992-07-18 21:00:00,1992-07-21 06:00:00
decay,1992-07-16 23:00:00,1992-07-18 09:00:00
decay 2,1992-07-20 19:00:00,1992-07-22 06:00:00
