,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",5781,59.20122887864823
8,"intensification, mature, decay",691,7.076292882744495
4,"incipient, decay, intensification, mature, decay 2",650,6.656426011264721
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",472,4.833589349718382
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",418,4.280593958013313
2,"decay, intensification, mature, decay 2",411,4.2089093701996925
0,decay,338,3.461341525857655
7,intensification,247,2.529441884280594
1,"decay, intensification",150,1.5360983102918586
3,"incipient, decay",107,1.0957501280081927
