,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",7262,57.88299059461183
8,"intensification, mature, decay",929,7.404750518093416
4,"incipient, decay, intensification, mature, decay 2",894,7.125777140124343
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",620,4.941814124023593
2,"decay, intensification, mature, decay 2",583,4.646899410170572
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",521,4.152717997768213
0,decay,481,3.833891280089272
7,intensification,279,2.223816355810617
1,"decay, intensification",178,1.4187788936712895
3,"incipient, decay",161,1.2832775386577395
