,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",6376,58.15395840933965
8,"intensification, mature, decay",850,7.752645020065669
4,"incipient, decay, intensification, mature, decay 2",746,6.804086099963517
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",566,5.162349507479022
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",474,4.323239693542503
2,"decay, intensification, mature, decay 2",453,4.131703757752645
0,decay,394,3.5935789857716163
7,intensification,249,2.271068952936884
1,"decay, intensification",140,1.2769062385990515
3,"incipient, decay",128,1.1674571324334184
