,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",6183,59.06008214729201
8,"intensification, mature, decay",829,7.9186168688508936
4,"incipient, decay, intensification, mature, decay 2",677,6.466711242716591
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",502,4.795109370522495
2,"decay, intensification, mature, decay 2",447,4.269748782118636
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",439,4.19333269653262
0,decay,378,3.610660043939249
7,intensification,244,2.3306906103734835
1,"decay, intensification",154,1.4710096475308052
3,"incipient, decay",122,1.1653453051867415
