,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",22949,58.606159660861124
8,"intensification, mature, decay",2958,7.554011951580775
4,"incipient, decay, intensification, mature, decay 2",2655,6.780223709076052
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",1936,4.9440727309872825
2,"decay, intensification, mature, decay 2",1709,4.36436998825272
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",1658,4.234128402880637
0,decay,1406,3.590581745747996
7,intensification,913,2.331579753817866
1,"decay, intensification",546,1.394351090454058
3,"incipient, decay",452,1.1542979723172788
