,start,end
incipient,2014-04-13 10:00:00,2014-04-13 11:00:00
intensification,2014-04-13 12:00:00,2014-04-16 02:00:00
mature,2014-04-16 03:00:00,2014-04-16 22:00:00
decay,2014-04-16 23:00:00,2014-04-20 01:00:00
intensification 2,2014-04-20 02:00:00,2014-04-24 20:00:00
mature 2,2014-04-24 21:00:00,2014-04-26 02:00:00
decay 2,2014-04-26 03:00:00,2014-04-29 22:00:00
