,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,Date,Hour,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RGe,RKz,RKe
0,238063.37938080667,96264.97507603726,4347075.813614647,219814.48108721935,-9.256372875745038,-1.287195220295286,-5.536374764979501,2.24081477073249,4.27564499756937,-0.48673258109119266,-4.561347742445893,-0.6797992537176061,154.23274303419484,3.891846736401901,-4.756536560165876,0.15026769438793627,1992-07-14,11,-7.17199233798657,0.46034991003956544,-21.882144818237673,-0.2275074515225828,-21.991205431596264,4.4750924821585345,2.528049435067241,7.324897733516968
1,212244.20696405502,97922.23475217969,4268300.092268991,218995.45426173805,-6.947048803077663,-1.4474378327609485,-5.755871228753827,1.9445522428480522,5.339913782076526,-1.19997370724993,-13.343132174264946,-1.3562660341693664,162.42305562083524,4.568851643443274,-1.7956356796140314,0.7751281866352728,1992-07-14,12,0.2882388884919621,2.251857895121385,7.09413949617922,1.7025146939942715,-13.446161529423176,6.843821677980316,-33.14019170227566,4.641642743438242
2,240138.6993779488,112478.35192091123,4398153.617987137,232072.5868839781,-6.83839949029977,-1.7757507123468634,-6.249632920725821,2.4661932932263464,6.410047809569056,-1.4904022399049712,-20.242366397937925,-2.6589294665006107,172.98603641764828,4.817879376016378,3.5698444088428856,1.7061124762871593,1992-07-14,13,6.539736767112615,5.18647701231347,25.86671704052857,2.4405899719168804,-8.484461245103073,10.918823257791653,-59.19711584949209,3.6163067755346767
3,259330.31168726584,135264.86924083668,4454540.454960797,236567.7020595396,-6.829648834127617,-2.2273031418423863,-5.890483974911277,2.61966356567779,7.8720904595057775,-1.5237178300992014,-23.901348957372804,-3.3059720590326034,183.59804377626725,4.341097936902686,2.582518015673813,2.453265819629297,1992-07-14,14,3.083885151871788,6.960728138232484,8.645993490294657,0.24576594627382697,-13.845157283603992,13.331412675851862,-45.267475256706355,4.958409535282636
4,262342.67247142567,162595.5945161851,4460404.771117259,233842.10169714966,-5.379872192358979,-2.5108135546706096,-5.0852990002950875,3.0994174710219315,10.302239327555139,-1.0924835404251034,-29.41347672402535,-3.4099495861725657,186.81344113751217,4.721599486374677,3.532815450035895,2.7139158893213646,1992-07-14,15,8.174733181406818,7.089978129121491,34.92176497864498,-1.4364089532943722,-10.01819189317791,13.792692695239134,-74.8004128953244,6.211175838438827
5,318188.3905933949,186312.7117705114,4705977.162807041,226225.5575958201,-3.577552952394341,-2.699394984929226,-5.128220109507523,4.102383709938163,12.84008341460911,-0.7317618331625487,-35.09020682580956,-4.385199716629967,197.5526126315714,4.451150156061099,2.354191348492929,2.387730686185916,1992-07-14,16,9.903076624209021,7.225398153510529,44.912882834322,-1.2970760780039523,-9.213954727723657,14.758938681540467,-88.70886272203342,6.14248018081967
6,333644.8241657306,214618.46122146092,4783777.527524377,224503.1539355212,-3.0279065086557804,-2.861718847307923,-3.7769301003281965,4.1196495260099475,14.319873672922729,-0.7405111136741799,-35.31473172217898,-4.277471148897883,204.07984760571446,4.7487035233699775,0.19280751993598894,1.3747580485162794,1992-07-14,17,5.119750026404306,6.372554473521842,27.9022033148885,-1.4786219522400763,-15.089749002482126,14.094433960513891,-70.02177164605146,5.097730429680338
7,355050.59078350593,232195.10397986867,4906873.026674238,215579.47953969156,-1.4515213223801684,-2.8824896449337967,-2.9624509006439514,4.2794325224157825,14.817750146676362,-1.0782828161645577,-35.12182009510663,-3.8766829664537426,206.45422459533722,4.208203782089468,-0.8649961941641675,0.038882082400125764,1992-07-14,18,-0.6379146579758284,2.4250656720259456,4.555637572697597,-3.0326922194448467,-19.789675771966156,10.665270655540082,-44.091429890828344,6.397892676050837
8,329051.83862830466,232078.93406004773,4816578.1180478,202667.7699555183,-1.6936691630142122,-2.868696252114314,-2.377063286645639,4.270537002265539,13.824240073283978,-0.9307061174033687,-43.1023164203193,-2.391484515670307,203.74024204556372,3.6427561864323423,-3.485204330692219,-1.6959056693752854,1992-07-14,19,-0.7899677418907636,-0.5405428837553053,5.759434457765504,-3.2760712883945113,-19.17657323030327,7.529396488027916,-52.93248332774465,7.532187061635382
9,349362.82304189244,228303.19521683047,4948340.95477015,191991.76626325108,-0.5670597878292062,-2.948420187852164,-2.2815269231832946,4.213832189850455,13.417366216513335,-0.7126406054426697,-49.93636213709152,-1.7886711708727516,211.15507232042293,2.7319319594031426,-3.4549792725708905,-2.438622241450756,1992-07-14,20,0.9430344112259061,-0.1979197075475329,11.130155360561588,-1.7949582747856079,-15.989811780968799,7.676973275597756,-63.91510420866561,6.501646216946606
