Region,Season,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
Total,DJF,0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1
ARG,DJF,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1
LA-PLATA,DJF,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1
SE-BR,DJF,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1
SE-SAO,DJF,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1
AT-PEN,DJF,0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1
WEDDELL,DJF,0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1
SA-NAM,DJF,0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1
Total,JJA,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1
ARG,JJA,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1
LA-PLATA,JJA,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,-0.0,0.1
SE-BR,JJA,-0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1
SE-SAO,JJA,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1
AT-PEN,JJA,0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1
WEDDELL,JJA,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1
SA-NAM,JJA,0.0,0.1,-0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1
Total,,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1
ARG,,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1
LA-PLATA,,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1
SE-BR,,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1
SE-SAO,,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1
AT-PEN,,0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1
WEDDELL,,0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1
SA-NAM,,0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,0.0,0.1,0.0,0.1,-0.0,0.1,-0.0,0.1
