Genesis Region,Genesis Season,mean_Total,std_Total,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
SAt,DJF,73.1,53.4,9.1,8.5,28.1,22.4,10.8,8.2,33.6,27.6,20.6,17.5,8.6,6.1,21.5,18.7,13.0,12.1
ARG,DJF,94.2,62.6,10.6,9.6,32.9,25.2,12.1,8.9,41.4,31.8,22.1,17.8,9.6,6.2,25.9,24.2,14.2,13.1
LA-PLATA,DJF,114.4,72.7,11.5,9.8,37.6,25.1,14.2,10.5,47.3,36.7,26.1,22.7,9.2,6.8,27.0,26.1,17.5,19.5
SE-BR,DJF,93.2,67.9,10.1,8.7,33.8,27.3,12.4,8.5,39.7,32.1,23.0,21.3,9.7,7.3,26.7,26.3,13.4,14.0
SE-SAO,DJF,81.7,55.8,10.0,9.1,30.5,23.1,10.9,7.9,36.1,27.9,22.0,20.3,8.4,5.9,21.5,20.3,14.6,12.7
AT-PEN,DJF,75.3,48.6,9.4,8.7,28.5,20.7,11.4,7.5,34.3,26.6,18.0,14.9,8.0,5.7,21.0,17.9,16.4,15.8
WEDDELL,DJF,92.9,57.6,10.6,10.1,34.1,25.4,11.9,8.9,38.0,29.1,22.8,17.9,8.8,6.6,22.4,18.4,13.9,14.5
SA-NAM,DJF,73.1,47.2,9.2,8.5,28.4,21.5,11.0,8.3,31.9,23.7,21.8,16.2,9.2,7.8,23.4,23.3,10.1,6.8
SAt,JJA,69.0,46.7,9.3,7.8,27.8,21.1,10.3,7.3,30.3,24.9,17.4,14.0,7.2,4.9,18.9,16.0,13.8,13.4
ARG,JJA,79.7,51.8,10.0,8.4,30.5,22.8,11.2,7.5,34.2,25.5,18.6,15.2,8.2,5.4,20.5,16.9,13.4,14.9
LA-PLATA,JJA,115.8,66.9,11.3,9.5,39.5,27.0,14.0,9.1,46.4,36.1,20.5,15.0,8.7,5.1,24.0,18.9,16.2,17.1
SE-BR,JJA,84.2,57.1,11.6,9.1,34.7,26.1,11.5,7.7,35.1,25.7,22.9,16.6,7.7,5.0,20.4,16.4,11.5,10.0
SE-SAO,JJA,72.6,46.8,9.8,8.3,30.1,21.8,10.7,7.2,31.3,24.6,17.0,13.3,7.1,4.3,19.1,14.7,12.5,11.2
AT-PEN,JJA,69.2,45.3,8.2,7.3,25.8,19.3,9.9,6.9,31.9,26.5,18.4,14.5,7.5,4.6,18.0,15.0,12.4,12.0
WEDDELL,JJA,79.6,51.3,10.4,8.3,30.3,22.4,11.5,7.7,33.4,25.2,18.6,13.9,8.6,5.5,22.5,20.8,12.2,12.6
SA-NAM,JJA,77.4,45.8,9.9,9.3,29.8,20.5,9.9,7.1,34.0,23.4,18.3,14.2,7.5,5.0,21.6,18.6,14.9,15.0
SAt,,70.7,49.2,8.8,7.7,27.5,21.3,10.5,7.4,32.2,25.2,19.2,15.3,7.6,5.2,20.1,17.5,15.6,15.8
SAt,,69.4,50.0,8.9,8.2,27.7,22.1,9.9,7.4,31.1,25.5,20.8,17.4,7.9,5.3,20.0,16.3,13.3,13.0
ARG,,86.5,58.5,9.4,7.9,32.7,26.1,11.5,7.7,37.2,28.8,21.4,18.8,8.3,6.0,21.1,18.2,16.9,16.3
ARG,,83.6,56.5,10.1,9.0,30.3,22.3,11.2,7.7,36.6,30.1,21.9,17.9,7.8,5.0,21.4,17.7,14.6,12.6
LA-PLATA,,118.6,76.1,11.1,9.3,41.8,30.2,14.3,8.7,48.6,37.4,24.1,20.0,8.9,5.2,27.0,24.2,19.9,21.7
LA-PLATA,,120.0,77.2,11.6,9.6,41.9,30.9,14.2,10.0,49.1,39.2,23.0,20.0,8.7,6.9,26.6,22.6,19.0,17.3
SE-BR,,87.3,62.3,10.1,7.4,31.7,24.4,13.1,10.0,39.1,32.7,20.5,16.0,6.6,3.9,19.5,15.2,15.5,13.9
SE-BR,,88.3,62.6,10.4,9.8,32.6,25.2,11.5,8.8,36.9,30.1,22.8,19.0,9.2,6.0,24.7,21.4,13.9,14.1
SE-SAO,,72.7,46.8,9.6,7.7,29.5,21.8,10.5,7.0,32.0,24.5,19.3,16.3,7.7,5.2,18.2,15.0,15.6,15.4
SE-SAO,,73.9,49.4,8.9,7.5,28.9,22.1,10.5,7.2,32.4,26.1,19.2,16.4,7.4,5.9,20.2,19.0,14.1,11.9
AT-PEN,,72.2,46.6,8.4,6.7,28.5,19.6,10.2,7.7,32.2,24.5,18.5,15.2,7.5,4.7,19.2,14.7,18.1,17.5
AT-PEN,,69.4,45.6,8.7,8.0,26.6,20.1,10.9,7.4,30.6,23.7,21.4,18.1,8.2,6.0,20.0,16.2,13.2,10.8
WEDDELL,,80.2,53.2,9.2,8.7,30.0,22.6,12.2,8.1,35.4,28.5,19.7,13.9,7.8,4.3,19.7,16.2,16.8,18.0
WEDDELL,,80.7,52.1,10.1,9.3,31.4,21.5,11.3,8.4,33.3,26.3,21.1,19.8,7.7,5.7,19.2,17.0,16.0,11.9
SA-NAM,,85.9,56.0,8.9,6.7,31.5,21.3,11.6,7.6,38.3,30.5,18.3,12.7,8.7,5.7,21.6,19.7,17.4,14.2
SA-NAM,,77.1,52.5,9.1,7.9,29.9,22.2,10.6,7.4,32.2,26.4,23.7,18.2,8.0,5.0,18.5,14.6,15.2,14.6
