Genesis Region,Genesis Season,mean_Total,std_Total,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
SAt,DJF,-0.1,0.9,0.2,2.0,0.1,1.4,-0.1,1.7,-0.2,1.4,0.1,1.8,-0.1,2.1,-0.3,1.7,0.1,1.8
ARG,DJF,0.5,1.1,0.8,2.9,0.7,2.1,0.4,2.3,0.2,1.9,0.5,2.4,0.6,2.5,0.3,2.6,0.1,2.3
LA-PLATA,DJF,0.5,1.1,0.8,2.8,0.6,1.7,0.5,2.3,0.1,1.8,0.4,2.9,1.0,3.2,0.2,2.3,0.1,2.3
SE-BR,DJF,0.1,0.9,0.2,2.3,0.3,1.3,0.2,1.8,-0.2,1.4,0.0,1.8,0.0,2.2,-0.1,1.9,0.0,1.9
SE-SAO,DJF,0.1,1.1,0.4,2.5,0.4,1.9,0.2,2.2,-0.1,1.7,-0.1,1.9,0.2,2.8,-0.0,2.2,-0.1,2.4
AT-PEN,DJF,-0.0,0.9,0.3,2.0,0.3,1.6,-0.3,1.7,-0.2,1.4,0.2,1.7,-0.0,2.3,-0.6,1.8,0.4,1.9
WEDDELL,DJF,-0.0,0.6,0.1,1.4,0.1,1.0,-0.1,1.2,-0.0,0.9,-0.1,1.1,-0.1,1.1,-0.1,1.2,-0.0,1.3
SA-NAM,DJF,0.0,0.6,0.1,1.9,0.2,1.2,0.2,1.7,-0.1,0.9,0.0,0.9,0.4,1.7,-0.1,1.3,0.0,1.4
SAt,JJA,-0.1,1.1,0.1,2.5,0.1,1.8,-0.1,2.2,-0.2,1.8,-0.0,2.2,0.0,2.6,-0.1,2.3,-0.1,2.3
ARG,JJA,0.4,1.1,0.7,3.0,0.6,2.1,0.5,2.3,0.1,2.0,0.6,2.7,0.0,2.7,0.1,2.6,0.5,2.4
LA-PLATA,JJA,0.3,1.1,0.3,2.7,0.6,2.0,0.3,2.5,0.0,2.0,0.5,2.6,0.4,3.0,0.1,2.6,-0.1,2.6
SE-BR,JJA,0.2,1.0,0.3,2.4,0.3,1.8,0.3,2.0,-0.0,1.7,0.3,2.3,-0.8,2.7,-0.1,2.5,-0.2,2.4
SE-SAO,JJA,0.1,1.3,0.4,2.9,0.3,2.1,0.2,2.4,-0.1,2.1,-0.0,2.5,-0.2,2.9,-0.1,2.6,0.2,2.5
AT-PEN,JJA,0.1,1.1,0.2,2.7,0.1,2.1,0.0,2.5,0.0,1.8,-0.1,2.7,-0.1,2.9,-0.1,2.3,0.4,2.2
WEDDELL,JJA,0.1,0.9,0.3,2.2,0.2,1.5,0.3,1.7,-0.0,1.5,0.3,1.5,0.1,1.7,-0.2,1.6,0.2,2.3
SA-NAM,JJA,0.1,0.7,0.4,1.7,0.2,1.2,0.2,1.7,-0.0,1.1,-0.2,1.4,-0.3,1.6,-0.2,1.5,-0.2,1.9
SAt,,-0.1,1.0,0.1,2.3,0.1,1.7,-0.1,1.9,-0.2,1.6,0.1,2.0,0.1,2.2,-0.2,2.0,0.1,2.0
SAt,,-0.1,1.0,0.2,2.3,0.1,1.7,-0.1,1.9,-0.3,1.5,0.1,1.9,-0.0,2.2,-0.2,1.8,0.0,2.2
ARG,,0.5,1.2,0.7,3.0,0.8,2.2,0.3,2.4,0.2,2.1,0.8,2.6,0.3,2.7,0.2,2.7,0.3,3.1
ARG,,0.5,1.1,0.7,2.9,0.6,2.0,0.5,2.3,0.2,1.9,0.3,2.6,0.3,2.5,0.3,2.6,0.3,2.4
LA-PLATA,,0.4,1.0,0.5,2.6,0.7,1.8,0.3,2.1,0.1,1.8,0.2,2.4,0.2,2.6,0.0,2.6,0.5,2.3
LA-PLATA,,0.3,1.1,0.5,3.5,0.5,1.9,0.3,2.3,0.1,1.8,0.2,2.3,0.2,3.5,0.0,2.2,0.5,2.8
SE-BR,,0.2,1.0,0.5,2.6,0.4,1.8,0.1,2.2,-0.1,1.5,0.2,2.1,0.4,2.5,-0.0,2.1,0.4,2.6
SE-BR,,0.2,1.0,0.2,2.4,0.4,1.8,0.1,2.0,-0.1,1.6,0.3,2.1,0.6,3.1,-0.3,2.1,0.5,2.2
SE-SAO,,0.1,1.2,0.2,2.6,0.4,2.2,0.1,2.5,-0.1,2.0,0.2,2.4,-0.1,2.6,-0.3,2.6,0.1,2.6
SE-SAO,,0.2,1.2,0.2,2.6,0.4,1.8,0.3,2.3,-0.1,1.8,0.1,2.4,-0.1,2.5,0.0,2.4,0.3,2.5
AT-PEN,,0.1,0.9,0.3,2.1,0.3,1.8,0.1,2.3,-0.1,1.6,0.4,2.0,0.2,2.5,-0.1,1.9,-0.0,2.1
AT-PEN,,0.1,1.0,0.2,2.2,0.3,1.8,0.1,1.9,-0.2,1.9,0.0,2.2,0.4,2.0,0.0,2.0,-0.1,2.1
WEDDELL,,0.1,0.8,0.3,1.7,0.2,1.3,0.0,1.3,-0.0,1.2,0.2,1.5,0.1,1.7,-0.1,1.7,0.7,1.9
WEDDELL,,0.1,0.9,0.3,2.0,0.2,1.4,0.1,1.5,-0.1,1.3,0.1,1.9,0.8,2.2,0.2,1.7,0.1,1.6
SA-NAM,,0.1,0.6,0.2,1.7,0.3,1.0,0.2,1.2,-0.0,1.0,-0.1,1.6,-0.2,1.5,-0.3,1.3,0.0,1.7
SA-NAM,,0.2,0.7,0.4,2.0,0.4,1.4,0.2,1.6,0.1,1.4,0.1,1.7,0.4,2.0,-0.1,2.0,0.1,2.2
