Region,Season,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
Total,DJF,10.7,10.3,32.9,26.1,12.0,8.9,38.1,31.3,17.6,15.0,8.3,5.5,21.4,19.7,12.8,11.4
ARG,DJF,9.3,7.8,32.9,25.6,12.0,8.4,34.0,27.7,20.1,14.8,8.5,5.6,21.5,19.5,14.0,12.1
LA-PLATA,DJF,9.9,7.7,29.7,22.6,12.1,8.4,31.1,26.4,22.2,17.0,8.6,5.5,22.9,21.1,16.3,17.7
SE-BR,DJF,9.8,9.6,27.1,22.0,10.4,7.4,29.1,24.0,22.0,19.7,8.8,6.8,22.2,21.3,13.8,14.4
SE-SAO,DJF,8.6,6.9,29.1,22.5,11.3,7.8,33.3,28.1,17.9,14.0,7.7,5.3,18.9,18.1,12.3,12.1
AT-PEN,DJF,6.1,5.2,22.0,17.0,8.7,5.8,27.1,21.1,18.5,12.4,6.2,3.5,17.8,11.9,14.7,12.2
WEDDELL,DJF,8.4,8.2,26.4,21.1,9.1,5.7,24.3,17.5,26.8,22.3,8.7,5.4,20.5,12.7,22.2,15.1
SA-NAM,DJF,7.3,7.0,21.3,18.3,7.4,5.3,21.3,18.6,15.6,12.3,5.8,3.7,16.3,12.6,12.0,10.3
Total,JJA,9.9,8.4,31.9,24.1,11.3,7.9,34.8,27.5,18.5,13.8,7.3,4.2,18.2,14.3,12.3,12.5
ARG,JJA,8.7,7.8,27.5,21.3,10.2,6.9,28.5,22.8,17.3,13.6,7.4,4.9,19.2,14.9,12.6,12.5
LA-PLATA,JJA,10.0,7.9,30.9,23.4,12.3,8.0,32.5,26.6,23.1,15.5,8.5,4.7,23.6,18.0,14.8,13.3
SE-BR,JJA,8.9,7.4,23.4,17.3,9.6,6.3,27.2,21.8,19.4,14.7,7.9,5.0,19.3,16.6,13.1,13.8
SE-SAO,JJA,8.6,7.0,28.8,21.4,10.3,7.0,30.3,24.7,16.1,12.4,6.8,3.8,17.4,14.5,11.1,9.5
AT-PEN,JJA,6.1,5.0,20.9,15.6,7.8,4.8,23.6,17.5,23.5,18.6,8.1,5.1,18.6,14.1,11.3,9.9
WEDDELL,JJA,8.0,7.4,27.2,22.2,9.3,6.2,24.0,18.1,20.2,15.7,6.4,3.5,17.3,11.8,19.5,18.6
SA-NAM,JJA,7.7,6.4,23.0,17.7,8.7,5.9,23.3,18.9,14.9,10.1,5.8,3.4,16.7,14.2,16.4,15.1
Total,,10.0,8.9,32.5,25.4,11.7,8.5,36.9,29.8,17.4,14.1,7.4,4.7,19.2,16.3,13.5,13.2
ARG,,8.9,7.8,30.1,23.5,10.9,7.6,31.2,25.6,19.6,15.4,8.0,5.5,19.8,17.2,13.9,13.2
LA-PLATA,,10.2,8.2,30.8,23.4,12.4,8.3,32.4,26.9,23.2,16.6,9.1,5.1,24.9,20.7,17.6,17.0
SE-BR,,8.9,8.1,25.5,20.1,10.1,7.1,28.3,23.5,20.6,16.1,8.4,5.6,20.8,18.5,14.4,14.8
SE-SAO,,8.9,7.3,28.9,21.9,10.6,7.3,31.4,25.8,17.3,12.8,7.1,4.3,18.3,15.7,11.6,10.8
AT-PEN,,6.3,5.6,21.9,17.0,8.3,5.5,25.5,19.9,20.3,16.2,7.2,4.5,17.9,12.9,13.9,13.1
WEDDELL,,7.7,7.1,26.7,21.9,9.2,6.0,24.7,18.5,22.1,16.5,7.4,4.2,19.6,14.0,19.1,17.7
SA-NAM,,7.7,7.1,23.0,18.8,8.3,5.8,23.4,19.2,17.2,14.8,6.3,4.5,16.9,13.6,14.6,13.5
