,start,end
incipient,2014-07-08 15:00:00,2014-07-08 20:00:00
decay,2014-07-08 21:00:00,2014-07-09 01:00:00
intensification,2014-07-09 02:00:00,2014-07-09 06:00:00
mature,2014-07-09 07:00:00,2014-07-09 08:00:00
decay 2,2014-07-09 09:00:00,2014-07-09 18:00:00
