,start,end
incipient,1982-08-29 10:00:00,1982-08-30 22:00:00
decay,1982-08-30 23:00:00,1982-08-31 13:00:00
intensification,1982-08-31 14:00:00,1982-09-04 01:00:00
mature,1982-09-04 02:00:00,1982-09-04 20:00:00
decay 2,1982-09-04 21:00:00,1982-09-06 17:00:00
