,start,end
incipient,2019-03-04 09:00:00,2019-03-04 23:00:00
intensification,2019-03-05 00:00:00,2019-03-06 08:00:00
mature,2019-03-06 09:00:00,2019-03-06 17:00:00
decay,2019-03-06 18:00:00,2019-03-07 12:00:00
