,Ck,Ca,Ke,Ge
intensification,-19.851423682646868,3.1593456305027052,475470.25341786526,3.9273552969249774
mature,-23.213505557341573,5.405958281034347,499899.48385919846,3.8658120142678447
decay,-32.116245410860444,6.347479897404046,1360582.4961156235,1.0105738331766316
