,Ck,Ca,Ke,Ge
intensification,-13.417278914895872,-1.9108723295566918,449531.2801114101,4.0931477711237685
mature,-33.40457044899111,-4.250107849530538,1373550.612554226,7.034994571736057
decay,-2.063779325156732,-0.29760286160978366,335427.8150753223,-0.12913756298456125
