,Ck,Ca,Ke,Ge
intensification,-14114.910817880882,-14108.698658677458,421290.56763279514,-14103.801320390106
mature,-14132.143630932405,-14111.453227040649,1200604.2506077064,-14099.471268114605
decay,-14112.751112044381,-14109.016024342913,663570.8859651159,-14108.095612185163
