,Ck,Ca,Ke,Ge
intensification,-2.964676800719094,-0.20497219542204603,234990.49090924778,1.5285231899958394
mature,-17.152254066765682,-2.4204108495081336,582416.4645898907,2.5150515647962406
decay,-2.057203754183518,-0.7042097904951716,353605.6755682663,-0.47472417557153695
