,Ck,Ca,Ke,Ge
intensification,-8083.80048718027,-8071.575472895958,1198123.625055525,-8053.424651500798
mature,-8060.952876344731,-8067.850567733898,584526.8166940134,-8063.809122819133
decay,-8067.894492525258,-8066.044306328549,408064.5136278461,-8064.431514224125
