,Ck,Ca,Ke,Ge
intensification,-4.418503467569039,1.409722098642551,512564.4377137454,6.386696418081384
mature,-18.02492289683864,3.774488668581014,542403.8477317912,-0.01677871620084015
decay,-1.5218021618347182,1.4711812216502187,161982.8267571975,-1.5398702648541989
