,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RGe,RKz,RKe
intensification,542506.065233426,57336.61665255676,1348165.4526116152,209371.3718581687,1.2903195156156086,0.8483167519030891,-5.653221076293387,0.9611608711897963,3.0945700160781575,-1.1338516101771283,-8.456004538970948,-0.5520032549622806,34.99383149589981,21.26024446536745,-1.6753269340848176,0.3710346791211212,-3.782074609002249,0.1769815063462918,-4.62525647806933,2.1609925091846787,-4.738008357561708,1.4236772358101273,-8.193649621579393,3.9013861833362244
mature,435740.9720155454,64334.27984067027,1260017.246822463,271973.65288395813,2.3738499699814195,0.8646321636588943,-8.001561866117076,0.6921303169769741,3.5577505636846265,-1.3383897217488783,-9.188827648076053,-2.647525784582564,40.58401055040994,23.112818454668332,-0.8862440688031561,0.24954654697328404,-2.3346807494979047,0.28119966987471795,1.5909598141231325,1.5329489111815833,-2.653949179542218,1.4470875449416758,-16.40749935833484,4.513217487329902
decay,392084.24740730174,77866.47744292901,1559933.9642870093,337509.32620600425,4.051596575390346,0.950752426712086,-9.758472405401557,1.174278714961042,3.3525787890307046,-1.1732049392755612,-19.689220257826314,-5.176903764727215,53.25445076766152,20.966701536214636,0.5785055522073914,0.1701926199692327,-0.2584803283348883,0.20320050178631796,6.653808836472424,0.8027688717764567,1.3912898847368398,1.5999317293108353,-32.04990492430994,4.953078483858929
incipient,412059.467457885,86410.29571820117,1959115.4751165174,361585.41478097613,3.5470366085032845,1.2811201721910166,-9.668477043868048,2.8990034585651285,4.004522276870051,-0.9691060094572663,-29.17499546424468,-7.17637168613238,55.86673104143792,4.724819972669727,-0.36214914249374325,0.9127186336403976,1.6226750098343512,0.2220354091340033,11.758256059455503,-0.10169350848257884,2.4463095136586017,2.809024704965381,-47.05469195906494,5.492802324783374
