,start,end
incipient,1994-01-03 23:00:00,1994-01-04 19:00:00
decay,1994-01-04 20:00:00,1994-01-04 23:00:00
intensification,1994-01-05 00:00:00,1994-01-06 18:00:00
mature,1994-01-06 19:00:00,1994-01-07 07:00:00
decay 2,1994-01-07 08:00:00,1994-01-09 05:00:00
