,start,end
incipient,2018-11-06 00:00:00,2018-11-06 05:00:00
intensification,2018-11-06 06:00:00,2018-11-06 18:00:00
mature,2018-11-06 19:00:00,2018-11-06 22:00:00
decay,2018-11-06 23:00:00,2018-11-07 08:00:00
residual,2018-11-07 09:00:00,2018-11-08 09:00:00
