,start,end
incipient,1991-04-26 19:00:00,1991-04-26 21:00:00
intensification,1991-04-26 22:00:00,1991-04-27 22:00:00
mature,1991-04-27 23:00:00,1991-04-28 04:00:00
decay,1991-04-28 05:00:00,1991-04-28 20:00:00
residual,1991-04-28 21:00:00,1991-04-30 23:00:00
